,Batting_Hand,total_matches,total_runs,centuries,half_centuries,total_fours,total_sixes,total_dotballs,total_balls_faced,total_ducks,best_score,total_outs,batting_average,India,New Zealand,South Africa,Sri Lanka,West Indies,other,Legbreak googly,Right-arm fast-medium,Right-arm medium,Right-arm medium-fast,Right-arm offbreak,Slow left-arm orthodox,other_bowling
0,1,59,1349,0,7,137,42,662,1326,7,91,38,35.5,1,0,0,0,0,0,0,0,1,0,0,0,0
1,0,92,2435,2,11,248,106,893,1954,5,158,76,32.03947368421053,0,1,0,0,0,0,0,0,1,0,0,0,0
2,0,10,91,0,0,5,2,69,129,4,28,4,22.75,0,0,0,0,0,0,0,0,1,0,0,0,0
3,0,64,1322,0,5,90,60,423,1099,8,71,32,41.3125,0,0,0,0,0,0,0,0,0,0,1,0,0
4,0,8,64,0,0,7,2,51,84,0,16,7,9.142857142857142,0,0,0,0,0,1,0,0,0,0,1,0,0
5,0,89,2170,0,11,268,28,819,1917,10,75,56,38.75,1,0,0,0,0,0,0,0,0,0,1,0,0
6,0,8,130,0,1,14,3,64,129,1,50,8,16.25,1,0,0,0,0,0,0,0,0,0,1,0,0
7,0,138,4105,4,27,360,148,1191,3234,12,113,89,46.12359550561798,1,0,0,0,0,0,0,0,1,0,0,0,0
8,0,98,2427,0,17,255,44,982,2291,11,89,64,37.921875,0,0,1,0,0,0,0,1,0,0,0,0,0
9,0,47,971,0,6,76,38,274,774,6,78,19,51.105263157894754,0,0,0,0,0,0,1,0,0,0,0,0,0
10,0,31,394,0,1,32,13,116,318,8,50,14,28.142857142857146,0,0,1,0,0,0,0,0,1,0,0,0,0
11,0,15,76,0,0,5,5,26,57,6,27,6,12.666666666666664,1,0,0,0,0,0,0,0,0,1,0,0,0
12,0,1,9,0,0,1,0,6,12,0,9,1,9.0,0,0,0,0,0,0,0,1,0,0,0,0,0
13,0,113,332,0,0,22,17,157,314,67,34,31,10.709677419354838,1,0,0,0,0,0,0,0,1,0,0,0,0
14,0,88,113,0,0,11,2,65,128,70,23,11,10.272727272727273,1,0,0,0,0,0,0,0,0,0,0,0,1
15,1,4,6,0,0,0,0,10,16,2,3,2,3.0,1,0,0,0,0,0,0,0,0,0,0,1,0
16,1,103,1927,0,8,248,27,811,1752,13,81,75,25.69333333333333,1,0,0,0,0,0,0,0,1,0,0,0,0
17,1,32,1107,0,8,121,44,366,838,1,93,31,35.709677419354854,0,0,0,0,0,0,0,0,1,0,0,0,0
18,1,59,1977,1,15,198,52,643,1648,2,116,40,49.425,0,0,0,0,0,0,0,0,1,0,0,0,0
19,0,142,3270,0,16,236,140,810,2419,17,70,67,48.80597014925373,1,0,0,0,0,0,0,0,1,0,0,0,0
20,1,146,4106,1,28,360,161,1081,3059,10,100,102,40.25490196078432,1,0,0,0,0,0,0,0,0,0,1,0,0
21,1,18,106,0,0,6,5,50,110,8,41,8,13.25,0,1,0,0,0,0,0,1,0,0,0,0,0
22,0,94,1441,0,11,154,28,493,1245,35,71,37,38.94594594594594,1,0,0,0,0,0,0,0,0,0,1,0,0
23,1,22,218,0,0,17,9,129,238,7,38,15,14.533333333333333,1,0,0,0,0,0,0,0,0,0,1,0,0
24,0,21,417,0,4,49,11,120,314,3,71,16,26.0625,0,0,0,0,0,0,0,0,1,0,0,0,0
25,1,71,1687,0,10,195,27,552,1424,7,94,50,33.74,0,0,0,1,0,0,0,0,0,0,1,0,0
26,1,108,2339,0,10,175,133,822,1862,6,83,89,26.28089887640449,1,0,0,0,0,0,0,0,0,0,0,1,0
27,1,11,237,0,2,25,8,85,190,1,75,10,23.7,0,0,0,0,0,0,0,0,0,0,0,0,1
28,1,102,1148,0,1,88,38,372,982,24,60,41,28.0,1,0,0,0,0,0,0,0,0,0,0,0,1
29,0,4,11,0,0,0,1,14,20,1,7,3,3.6666666666666665,1,0,0,0,0,0,0,0,1,0,0,0,0
30,0,134,2779,1,13,231,143,715,1953,19,100,77,36.09090909090909,1,0,0,0,0,0,0,0,0,0,1,0,0
31,0,94,2553,2,14,251,121,786,1868,6,104,69,37.0,0,0,0,0,0,0,0,1,0,0,0,0,0
32,0,29,259,0,0,22,6,120,258,7,34,17,15.235294117647054,1,0,0,0,0,0,0,0,0,0,1,0,0
33,1,2,18,0,0,3,0,10,19,0,17,2,9.0,0,0,0,0,0,0,0,0,0,0,0,1,0
34,1,125,1574,0,0,112,53,487,1340,33,48,55,28.61818181818181,1,0,0,0,0,0,0,0,0,0,0,1,0
35,0,18,55,0,0,4,1,34,70,8,23,5,11.0,1,0,0,0,0,0,0,0,1,0,0,0,0
36,0,6,33,0,0,5,0,8,24,3,26,2,16.5,1,0,0,0,0,0,0,0,0,0,0,0,0
37,0,55,198,0,0,14,6,105,219,33,34,20,9.9,0,0,0,0,0,0,1,0,0,0,0,0,0
38,0,76,42,0,0,3,1,37,61,65,9,6,7.0,1,0,0,0,0,0,0,0,1,0,0,0,0
39,1,132,3634,0,31,422,51,1166,3027,13,93,97,37.4639175257732,1,0,0,0,0,0,0,0,0,0,0,0,0
40,0,104,2728,2,16,334,106,737,1833,7,122,82,33.26829268292683,1,0,0,0,0,0,0,0,0,0,1,0,0
41,1,113,3082,0,25,348,62,1077,2622,5,95,82,37.58536585365854,1,0,0,0,0,0,0,0,0,0,1,0,0
42,0,5,34,0,0,6,1,26,37,1,13,5,6.8,0,0,0,0,0,0,0,0,1,0,0,0,0
43,1,30,768,1,4,84,39,292,573,2,114,28,27.42857142857143,0,0,0,1,0,0,0,0,0,0,0,1,0
44,0,6,39,0,0,2,2,31,54,3,30,3,13.0,0,0,0,0,0,0,0,0,1,0,0,0,0
45,0,135,3390,0,17,341,104,1089,2720,10,83,93,36.451612903225815,1,0,0,0,0,0,0,0,1,0,0,0,0
46,0,16,91,0,0,9,2,50,96,8,29,8,11.375,1,0,0,0,0,0,0,0,1,0,0,0,0
47,1,60,672,0,0,55,20,234,588,14,45,32,21.0,1,0,0,0,0,0,0,0,1,0,0,0,0
48,0,13,147,0,0,12,8,47,116,7,33,8,18.375,0,0,1,0,0,0,0,1,0,0,0,0,0
49,0,125,783,0,1,76,40,250,573,61,64,39,20.076923076923077,1,0,0,0,0,0,0,0,0,0,1,0,0
50,1,3,25,0,0,4,0,20,33,0,16,3,8.333333333333334,0,0,0,0,1,0,0,0,0,0,0,0,0
51,0,55,1017,0,3,66,46,334,847,4,81,25,40.68,0,1,0,0,0,0,0,0,0,0,1,0,0
